refsoilID	OTU	soil	sediment	peat	rocky	ag	silt	loam
gi|378947941	155221	43787.0	43787.0	2.0	4.0	5.0	1.0	4.0
gi|378953804	676211	455.0	455.0	1	1	2.0	1	1
gi|378958130	676211	455.0	455.0	1	1	2.0	1	1
gi|378976159	210269	123684.0	123684.0	1	1	1	1	1
gi|378443454	676211	455.0	455.0	1	1	2.0	1	1
gi|378448274	676211	455.0	455.0	1	1	2.0	1	1
gi|379699217	676211	455.0	455.0	1	1	2.0	1	1
gi|378982542	676211	455.0	455.0	1	1	2.0	1	1
gi|378987404	676211	455.0	455.0	1	1	2.0	1	1
gi|379005799	New.30.CleanUp.ReferenceOTU143226	7.0	7.0	1	1	1	1	1
gi|379706264	4393724	182.0	182.0	1	1	1	1	1
gi|379009891	4317480	144.0	144.0	1	1	1	1	1
gi|378715556	4411489	15.0	15.0	1	1	1	1	1
gi|379718015	New.7.CleanUp.ReferenceOTU279193	4.0	4.0	1	1	1	1	1
gi|379733551	New.59.CleanUp.ReferenceOTU71157	2.0	2.0	1	1	1	1	1
gi|379744720	264791	378.0	378.0	1	1	1	1	1
gi|379752013	264791	378.0	378.0	1	1	1	1	1
gi|379759437	264791	378.0	378.0	1	1	1	1	1
gi|383452024	New.59.CleanUp.ReferenceOTU990105	23.0	23.0	1	1	1	1	1
gi|383313191	4364814	12.0	12.0	1	1	1	1	1
gi|383318453	253964	160.0	160.0	1	1	1	1	1
gi|383494824	676211	455.0	455.0	1	1	2.0	1	1
gi|384255905	274754	1208794.0	1208794.0	1	1	1	1	1
gi|384260349	New.36.CleanUp.ReferenceOTU1479950	2.0	2.0	1	1	1	1	1
gi|384263631	4441266	720.0	720.0	1	1	1	1	1
gi|383775170	39832	8287.0	8287.0	1	1	1	1	1
gi|383783295	New.59.CleanUp.ReferenceOTU96088	2.0	2.0	1	1	1	1	1
gi|383785713	New.59.CleanUp.ReferenceOTU943781	2.0	2.0	1	1	1	1	1
gi|384044176	557526	1060.0	1060.0	1	1	1	1	1
gi|384137007	274754	1208794.0	1208794.0	1	1	1	1	1
gi|384145136	New.59.CleanUp.ReferenceOTU294692	2.0	2.0	1	1	1	1	1
gi|384157612	4441266	720.0	720.0	1	1	1	1	1
gi|384162404	4441266	720.0	720.0	1	1	1	1	1
gi|384166624	4441266	720.0	720.0	1	1	1	1	1
gi|384173661	4441266	720.0	720.0	1	1	1	1	1
gi|674708758	4441266	720.0	720.0	1	1	1	1	1
gi|384177910	1532107	106557.0	106557.0	1	1	1	1	1
gi|384184088	1532107	106557.0	106557.0	1	1	1	1	1
gi|384213726	829415	12751.0	12751.0	1	1	1	1	1
gi|384456718	562096	75.0	75.0	1	1	1	1	1
gi|387816237	New.5.CleanUp.ReferenceOTU464200	646.0	646.0	4.0	1	1	1	1
gi|384503605	4364814	12.0	12.0	1	1	1	1	1
gi|387151873	1720567	1	1	1	1	1	1	1
gi|384514544	4364814	12.0	12.0	1	1	1	1	1
gi|384528107	New.24.CleanUp.ReferenceOTU38683	383.0	383.0	29.0	1	1	1	1
gi|384534464	New.24.CleanUp.ReferenceOTU38683	383.0	383.0	29.0	1	1	1	1
gi|385232493	679605	2.0	2.0	1	2.0	1.0	1	1
gi|387869382	676211	455.0	455.0	1	1	2.0	1	1
gi|385785459	210269	123684.0	123684.0	1	1	1	1	1
gi|387823583	535071	1	1	1	1	1.0	1	1
gi|385791932	535071	1	1	1	1	1.0	1	1
gi|385795588	2654188	281.0	281.0	1	1	1	1	1
gi|386006713	675580	6.0	6.0	1	1	1	1	1
gi|386009639	277094	96.0	96.0	1	1	1	1	1
gi|386014600	4455895	2362.0	2362.0	1	1	1	1	1
gi|386018640	821119	17.0	17.0	1	1	1	1	1
gi|386025288	675580	6.0	6.0	1	1	1	1	1
